Player,Sprint Speed (ft/s),Lg Rank,% Rank,SB,CS,Team,Season
Michael Massey,27.3,312,49,1,0,KANSAS-CITY,2023
Miguel Rojas,26.4,444,28,1,0,LA-DODGERS,2023
Freddie Freeman,26.7,408,34,1,1,LA-DODGERS,2023
Enrique Hernández,26.9,387,37,0,0,LA-DODGERS,2023
Max Muncy,26.9,386,37,4,0,LA-DODGERS,2023
Austin Barnes,26.5,437,29,0,0,LA-DODGERS,2023
Mookie Betts,27.2,325,47,6,0,LA-DODGERS,2023
Chris Taylor,28.3,159,74,0,1,LA-DODGERS,2023
Will Smith,27.2,342,44,2,3,LA-DODGERS,2023
James Outman,28.9,71,89,0,0,LA-DODGERS,2023
Riley Adams,26.2,475,23,0,0,WASHINGTON,2023
Keibert Ruiz,25.1,563,8,0,2,WASHINGTON,2023
Alex Call,28.8,82,87,1,0,WASHINGTON,2023
Luis García Jr.,27.2,328,47,8,4,WASHINGTON,2023
CJ Abrams,28.6,111,82,20,2,WASHINGTON,2023
Drew Millas,28.5,123,80,0,0,WASHINGTON,2023
Jacob Young,30.0,11,98,10,9,WASHINGTON,2023
Seth Brown,27.3,310,50,1,0,OAKLAND,2023
Brent Rooker,27.1,358,42,3,1,OAKLAND,2023
JJ Bleday,27.2,343,44,1,2,OAKLAND,2023
Shea Langeliers,28.4,134,78,4,1,OAKLAND,2023
Lawrence Butler,27.4,289,53,16,4,OAKLAND,2023
Zack Gelof,29.0,58,91,0,0,OAKLAND,2023
Tyler Soderstrom,25.7,537,13,5,2,OAKLAND,2023
Andrew McCutchen,28.4,140,77,1,0,PITTSBURGH,2023
Ke'Bryan Hayes,27.1,354,42,10,2,PITTSBURGH,2023
Oneil Cruz,28.7,103,83,29,4,PITTSBURGH,2023
Bryan Reynolds,27.8,242,61,3,2,PITTSBURGH,2023
Jack Suwinski,28.6,119,81,5,1,PITTSBURGH,2023
Jared Triolo,28.4,143,77,5,1,PITTSBURGH,2023
Ji Hwan Bae,29.7,18,97,2,0,PITTSBURGH,2023
Liover Peguero,29.3,33,95,0,0,PITTSBURGH,2023
Henry Davis,28.2,168,73,0,1,PITTSBURGH,2023
Endy Rodríguez,27.8,241,61,0,1,PITTSBURGH,2023
Nick Gonzales,28.8,84,87,0,1,PITTSBURGH,2023
Manny Machado,26.3,465,24,8,2,SAN-DIEGO,2023
Xander Bogaerts,27.6,260,58,15,1,SAN-DIEGO,2023
Jake Cronenworth,28.3,160,74,2,1,SAN-DIEGO,2023
Fernando Tatis Jr.,29.3,40,94,21,3,SAN-DIEGO,2023
Luis Campusano,25.8,530,14,0,0,SAN-DIEGO,2023
J.P. Crawford,26.7,401,35,5,1,SEATTLE,2023
Cal Raleigh,27.0,371,40,10,2,SEATTLE,2023
Dylan Moore,27.7,252,59,9,4,SEATTLE,2023
Julio Rodríguez,29.6,23,96,17,4,SEATTLE,2023
Dominic Canzone,26.7,411,33,1,1,SEATTLE,2023
Wilmer Flores,24.4,592,4,1,0,SAN-FRANCISCO,2023
Mike Yastrzemski,27.0,369,40,6,2,SAN-FRANCISCO,2023
LaMonte Wade Jr.,26.0,497,19,0,0,SAN-FRANCISCO,2023
Tyler Fitzgerald,30.1,6,99,9,4,SAN-FRANCISCO,2023
Casey Schmitt,28.0,193,69,0,0,SAN-FRANCISCO,2023
Heliot Ramos,26.9,376,39,5,4,SAN-FRANCISCO,2023
Patrick Bailey,26.2,479,22,0,0,SAN-FRANCISCO,2023
David Villar,25.9,512,17,0,0,SAN-FRANCISCO,2023
Luis Matos,27.7,248,60,2,0,SAN-FRANCISCO,2023
Brett Wisely,27.9,217,65,0,1,SAN-FRANCISCO,2023
Nolan Arenado,24.9,576,6,1,0,ST-LOUIS,2023
Willson Contreras,26.7,400,35,4,0,ST-LOUIS,2023
Lars Nootbaar,27.8,234,62,4,4,ST-LOUIS,2023
Luken Baker,24.7,587,4,0,0,ST-LOUIS,2023
José Fermín,28.0,208,66,1,0,ST-LOUIS,2023
Nolan Gorman,26.5,438,29,1,1,ST-LOUIS,2023
Iván Herrera,26.7,403,34,3,0,ST-LOUIS,2023
Alec Burleson,25.6,538,12,4,0,ST-LOUIS,2023
Brendan Donovan,27.1,347,44,3,1,ST-LOUIS,2023
Jordan Walker,28.5,122,80,3,2,ST-LOUIS,2023
Masyn Winn,29.2,47,93,5,5,ST-LOUIS,2023
Yandy Díaz,26.6,418,32,3,0,TAMPA-BAY,2023
Brandon Lowe,27.3,306,50,3,1,TAMPA-BAY,2023
Jonathan Aranda,26.1,489,20,0,1,TAMPA-BAY,2023
Josh Lowe,28.7,92,85,6,2,TAMPA-BAY,2023
Taylor Walls,28.2,167,73,11,6,TAMPA-BAY,2023
Curtis Mead,26.7,412,33,4,1,TAMPA-BAY,2023
Junior Caminero,28.6,108,83,5,1,TAMPA-BAY,2023
Marcus Semien,28.7,99,84,7,1,TEXAS,2023
Corey Seager,26.2,472,23,1,0,TEXAS,2023
Jonah Heim,25.8,522,15,3,0,TEXAS,2023
Leody Taveras,29.1,53,92,6,1,TEXAS,2023
Adolis García,27.3,308,50,9,3,TEXAS,2023
Josh Smith,28.5,127,79,9,3,TEXAS,2023
Josh Jung,26.8,392,36,4,1,TEXAS,2023
Ezequiel Duran,29.1,56,91,4,0,TEXAS,2023
Evan Carter,29.6,22,97,12,1,TEXAS,2023
George Springer,27.8,240,61,11,0,TORONTO,2023
Tyler Heineman,25.7,535,13,2,0,TORONTO,2023
Daulton Varsho,28.1,184,70,1,0,TORONTO,2023
Nathan Lukes,27.4,293,52,1,2,TORONTO,2023
Vladimir Guerrero Jr.,26.4,447,27,5,2,TORONTO,2023
Bo Bichette,27.1,353,43,4,3,TORONTO,2023
Alejandro Kirk,23.7,602,2,0,0,TORONTO,2023
Ernie Clement,28.4,146,76,3,3,TORONTO,2023
Davis Schneider,27.4,296,52,0,1,TORONTO,2023
Bryce Harper,27.6,280,55,9,0,PHILADELPHIA,2023
Nick Castellanos,27.2,336,45,3,0,PHILADELPHIA,2023
J.T. Realmuto,28.6,104,83,5,2,PHILADELPHIA,2023
Trea Turner,30.3,4,100,24,6,PHILADELPHIA,2023
Edmundo Sosa,29.2,43,93,0,0,PHILADELPHIA,2023
Weston Wilson,27.2,339,45,0,0,PHILADELPHIA,2023
Kyle Schwarber,25.0,574,7,9,2,PHILADELPHIA,2023
Alec Bohm,26.6,417,32,2,0,PHILADELPHIA,2023
Kody Clemens,27.5,282,54,0,0,PHILADELPHIA,2023
Brandon Marsh,28.6,114,82,5,1,PHILADELPHIA,2023
Johan Rojas,29.5,24,96,12,2,PHILADELPHIA,2023
Bryson Stott,28.8,76,88,14,3,PHILADELPHIA,2023
DJ LeMahieu,25.7,536,13,0,0,NY-YANKEES,2023
Giancarlo Stanton,24.4,591,4,0,0,NY-YANKEES,2023
Aaron Judge,26.7,406,34,6,3,NY-YANKEES,2023
Oswaldo Cabrera,27.8,227,63,0,1,NY-YANKEES,2023
Austin Wells,26.7,404,34,3,1,NY-YANKEES,2023
Oswald Peraza,28.7,95,85,1,0,NY-YANKEES,2023
Anthony Volpe,28.4,133,79,10,7,NY-YANKEES,2023
Jasson Domínguez,28.3,147,76,14,2,NY-YANKEES,2023
Mike Trout,28.9,63,90,2,0,LA-ANGELS,2024
Taylor Ward,26.8,404,33,2,1,LA-ANGELS,2024
Luis Rengifo,26.9,380,37,2,6,LA-ANGELS,2024
Jo Adell,28.8,83,86,3,0,LA-ANGELS,2024
Gustavo Campero,28.3,142,77,1,0,LA-ANGELS,2024
Kyren Paris,28.9,66,89,7,1,LA-ANGELS,2024
Logan O'Hoppe,28.1,178,71,1,1,LA-ANGELS,2024
Zach Neto,28.2,163,73,17,7,LA-ANGELS,2024
Niko Kavadas,26.0,494,19,0,0,LA-ANGELS,2024
Nolan Schanuel,26.4,459,24,4,1,LA-ANGELS,2024
Randal Grichuk,27.5,279,54,0,1,ARIZONA,2024
Eugenio Suárez,26.5,444,27,1,0,ARIZONA,2024
Ketel Marte,27.1,343,44,2,1,ARIZONA,2024
Jose Herrera,25.0,572,6,0,0,ARIZONA,2024
Pavin Smith,26.4,455,25,2,2,ARIZONA,2024
Jake McCarthy,29.8,15,98,3,0,ARIZONA,2024
Lourdes Gurriel Jr.,26.6,433,29,7,2,ARIZONA,2024
Gabriel Moreno,27.2,339,44,1,1,ARIZONA,2024
Geraldo Perdomo,27.0,365,40,13,3,ARIZONA,2024
Blaze Alexander,28.6,97,84,2,0,ARIZONA,2024
Alek Thomas,27.8,228,63,5,2,ARIZONA,2024
Jorge Barrosa,28.0,187,69,0,0,ARIZONA,2024
Corbin Carroll,29.6,27,96,11,4,ARIZONA,2024
Marcell Ozuna,25.7,525,13,0,0,ATLANTA,2024
Orlando Arcia,25.6,528,13,0,0,ATLANTA,2024
Matt Olson,25.5,543,10,0,0,ATLANTA,2024
Eli White,29.6,26,96,6,1,ATLANTA,2024
Chadwick Tromp,24.2,597,2,0,0,ATLANTA,2024
Ozzie Albies,27.2,328,46,7,1,ATLANTA,2024
Ronald Acuña Jr.,27.7,242,60,4,0,ATLANTA,2024
Austin Riley,27.9,208,66,2,1,ATLANTA,2024
Luke Williams,28.6,102,83,3,0,ATLANTA,2024
Sean Murphy,25.2,559,8,0,0,ATLANTA,2024
Michael Harris II,28.3,153,75,12,3,ATLANTA,2024
Jarred Kelenic,27.9,210,66,0,1,ATLANTA,2024
Nacho Alvarez Jr.,25.9,504,17,0,0,ATLANTA,2024
Ramón Urías,26.9,387,36,2,0,BALTIMORE,2024
Jorge Mateo,29.9,8,99,14,1,BALTIMORE,2024
Cedric Mullins,28.3,151,75,13,3,BALTIMORE,2024
Ryan O'Hearn,27.8,221,64,3,1,BALTIMORE,2024
Emmanuel Rivera,26.7,408,33,1,0,BALTIMORE,2024
Ryan Mountcastle,27.6,262,57,1,0,BALTIMORE,2024
Adley Rutschman,26.6,437,28,0,0,BALTIMORE,2024
Jordan Westburg,29.0,56,91,1,2,BALTIMORE,2024
Heston Kjerstad,28.5,114,81,1,0,BALTIMORE,2024
Colton Cowser,28.2,155,75,3,0,BALTIMORE,2024
Gunnar Henderson,28.9,71,88,10,3,BALTIMORE,2024
Coby Mayo,27.6,252,59,1,0,BALTIMORE,2024
Jackson Holliday,29.4,34,95,9,8,BALTIMORE,2024
Trevor Story,28.1,181,70,16,0,BOSTON,2024
Rob Refsnyder,27.3,318,48,3,0,BOSTON,2024
Rafael Devers,26.5,447,26,1,1,BOSTON,2024
Connor Wong,28.4,130,79,1,1,BOSTON,2024
David Hamilton,29.4,35,94,15,3,BOSTON,2024
Triston Casas,24.1,599,1,0,0,BOSTON,2024
Wilyer Abreu,27.5,273,55,5,2,BOSTON,2024
Ceddanne Rafaela,28.8,81,87,13,2,BOSTON,2024
Jarren Duran,29.6,25,96,16,5,BOSTON,2024
Nick Sogard,27.7,248,59,0,0,BOSTON,2024
Masataka Yoshida,26.1,488,20,1,0,BOSTON,2024
Dansby Swanson,27.8,223,63,7,3,CHI-CUBS,2024
Nico Hoerner,28.4,133,78,16,3,CHI-CUBS,2024
Ian Happ,27.9,204,66,4,1,CHI-CUBS,2024
Miguel Amaya,25.5,545,10,0,0,CHI-CUBS,2024
Seiya Suzuki,28.3,147,76,2,2,CHI-CUBS,2024
Michael Busch,27.3,315,48,4,0,CHI-CUBS,2024
Pete Crow-Armstrong,30.0,6,99,27,4,CHI-CUBS,2024
Jeimer Candelario,27.4,303,50,0,1,CINCINNATI,2024
Jake Fraley,28.3,143,77,4,2,CINCINNATI,2024
Austin Wynns,25.2,563,7,0,0,CINCINNATI,2024
Tyler Stephenson,26.5,442,27,0,1,CINCINNATI,2024
Will Benson,28.8,78,87,1,2,CINCINNATI,2024
Spencer Steer,28.2,165,73,6,1,CINCINNATI,2024
Santiago Espinal,27.3,320,47,2,1,CINCINNATI,2024
TJ Friedl,26.5,450,26,10,3,CINCINNATI,2024
Jacob Hurtubise,26.9,373,39,0,0,CINCINNATI,2024
Rece Hinds,29.2,47,92,0,0,CINCINNATI,2024
Noelvi Marte,28.8,84,86,5,1,CINCINNATI,2024
Elly De La Cruz,30.0,3,100,25,6,CINCINNATI,2024
Christian Encarnacion-Strand,27.4,302,50,0,2,CINCINNATI,2024
Blake Dunn,29.3,37,94,1,1,CINCINNATI,2024
Austin Hedges,25.3,557,8,1,0,CLEVELAND,2024
José Ramírez,28.2,156,74,29,5,CLEVELAND,2024
Lane Thomas,29.3,43,93,4,1,CLEVELAND,2024
Bo Naylor,26.6,434,28,1,2,CLEVELAND,2024
Johnathan Rodríguez,26.8,392,35,0,0,CLEVELAND,2024
Gabriel Arias,27.4,306,50,3,3,CLEVELAND,2024
Brayan Rocchio,26.8,393,35,2,4,CLEVELAND,2024
Jhonkensy Noel,28.1,183,70,0,0,CLEVELAND,2024
Steven Kwan,27.1,348,43,11,2,CLEVELAND,2024
David Fry,26.2,474,22,1,0,CLEVELAND,2024
Daniel Schneemann,28.3,149,76,6,1,CLEVELAND,2024
Angel Martínez,27.6,258,58,6,1,CLEVELAND,2024
Will Brennan,28.2,164,73,0,1,CLEVELAND,2024
Kyle Manzardo,25.9,509,16,1,0,CLEVELAND,2024
Kris Bryant,25.7,526,13,0,0,COLORADO,2024
Jacob Stallings,23.9,601,1,0,0,COLORADO,2024
Ryan McMahon,25.9,507,16,2,1,COLORADO,2024
Sean Bouchard,27.1,355,42,1,1,COLORADO,2024
Sam Hilliard,28.8,74,88,2,1,COLORADO,2024
Aaron Schunk,28.1,180,70,0,0,COLORADO,2024
Michael Toglia,27.4,298,51,3,0,COLORADO,2024
Ezequiel Tovar,28.1,176,71,2,2,COLORADO,2024
Brenton Doyle,29.3,40,94,9,0,COLORADO,2024
Jordan Beck,28.6,99,84,10,5,COLORADO,2024
Adael Amador,26.2,482,21,1,1,COLORADO,2024
Hunter Goodman,28.0,196,68,1,2,COLORADO,2024
Javier Báez,27.5,272,55,2,1,DETROIT,2024
Andy Ibáñez,27.6,254,58,3,0,DETROIT,2024
Zach McKinstry,28.4,129,79,15,3,DETROIT,2024
Matt Vierling,28.8,79,87,1,0,DETROIT,2024
Jake Rogers,27.1,353,42,0,0,DETROIT,2024
Akil Baddoo,28.1,174,71,1,0,DETROIT,2024
Ryan Kreidler,27.5,292,52,2,0,DETROIT,2024
Justyn-Henry Malloy,26.6,431,29,0,0,DETROIT,2024
Wenceel Pérez,28.2,159,74,2,0,DETROIT,2024
Parker Meadows,29.3,44,93,3,0,DETROIT,2024
Spencer Torkelson,27.2,324,47,1,1,DETROIT,2024
Kerry Carpenter,27.7,246,60,1,1,DETROIT,2024
Riley Greene,27.7,250,59,1,1,DETROIT,2024
Jace Jung,26.0,500,18,0,0,DETROIT,2024
Colt Keith,27.7,237,61,0,0,DETROIT,2024
Dillon Dingler,27.5,281,54,0,0,DETROIT,2024
Trey Sweeney,28.1,166,73,3,1,DETROIT,2024
Jose Altuve,27.1,340,44,6,6,HOUSTON,2024
Victor Caratini,24.4,594,2,0,0,HOUSTON,2024
Mauricio Dubón,27.3,317,48,2,0,HOUSTON,2024
César Salazar,25.5,537,11,0,0,HOUSTON,2024
Jeremy Peña,29.8,12,98,15,2,HOUSTON,2024
Yordan Alvarez,26.1,491,19,1,0,HOUSTON,2024
Yainer Diaz,27.1,341,44,1,1,HOUSTON,2024
Jake Meyers,28.9,68,89,14,5,HOUSTON,2024
Chas McCormick,28.7,92,85,1,3,HOUSTON,2024
Shay Whitcomb,27.4,300,51,0,0,HOUSTON,2024
Zach Dezenzo,28.3,141,77,1,0,HOUSTON,2024
Salvador Perez,24.5,588,3,0,0,KANSAS-CITY,2024
Hunter Renfroe,26.7,412,32,0,0,KANSAS-CITY,2024
Kyle Isbel,27.9,213,65,2,1,KANSAS-CITY,2024
Freddy Fermin,26.6,435,28,0,2,KANSAS-CITY,2024
MJ Melendez,27.8,219,64,0,0,KANSAS-CITY,2024
Drew Waters,28.0,191,69,5,3,KANSAS-CITY,2024
Maikel Garcia,27.9,207,66,18,9,KANSAS-CITY,2024
Bobby Witt Jr.,30.5,1,100,25,7,KANSAS-CITY,2024
Nick Loftin,27.7,241,60,1,1,KANSAS-CITY,2024
Dairon Blanco,29.6,21,97,3,2,KANSAS-CITY,2024
Vinnie Pasquantino,25.6,532,12,1,0,KANSAS-CITY,2024
Michael Massey,26.8,403,34,1,0,KANSAS-CITY,2024
Miguel Rojas,25.8,520,14,1,0,LA-DODGERS,2024
Freddie Freeman,25.8,517,15,1,1,LA-DODGERS,2024
Enrique Hernández,27.0,358,41,0,0,LA-DODGERS,2024
Max Muncy,26.9,377,38,4,0,LA-DODGERS,2024
Austin Barnes,25.8,515,15,0,0,LA-DODGERS,2024
Mookie Betts,26.7,416,31,6,0,LA-DODGERS,2024
Teoscar Hernández,28.6,104,83,5,0,LA-DODGERS,2024
Chris Taylor,28.1,179,71,0,1,LA-DODGERS,2024
Shohei Ohtani,28.1,182,70,12,4,LA-DODGERS,2024
Tommy Edman,27.9,209,66,3,1,LA-DODGERS,2024
Will Smith,27.4,307,49,2,3,LA-DODGERS,2024
Hunter Feduccia,27.6,261,57,0,0,LA-DODGERS,2024
James Outman,28.8,80,87,0,0,LA-DODGERS,2024
Andy Pages,28.3,150,75,8,4,LA-DODGERS,2024
Riley Adams,26.5,445,27,0,0,WASHINGTON,2024
Keibert Ruiz,25.0,575,5,0,2,WASHINGTON,2024
Andrés Chaparro,25.8,518,15,0,0,WASHINGTON,2024
Alex Call,28.0,188,69,1,0,WASHINGTON,2024
Luis García Jr.,27.2,336,45,8,4,WASHINGTON,2024
José Tena,28.1,175,71,2,1,WASHINGTON,2024
CJ Abrams,28.5,113,82,20,2,WASHINGTON,2024
Nasim Nuñez,29.5,32,95,7,1,WASHINGTON,2024
Drew Millas,28.3,148,76,0,0,WASHINGTON,2024
Dylan Crews,29.3,41,93,11,3,WASHINGTON,2024
James Wood,28.7,91,85,12,4,WASHINGTON,2024
Jacob Young,29.7,18,97,10,9,WASHINGTON,2024
Trey Lipscomb,27.5,289,52,0,0,WASHINGTON,2024
Miguel Andujar,26.6,430,29,1,0,OAKLAND,2024
Seth Brown,27.4,308,49,1,0,OAKLAND,2024
Brent Rooker,27.6,268,56,3,1,OAKLAND,2024
JJ Bleday,27.6,265,56,1,2,OAKLAND,2024
Shea Langeliers,27.8,236,61,4,1,OAKLAND,2024
Lawrence Butler,27.6,256,58,16,4,OAKLAND,2024
Max Schuemann,27.8,218,64,6,1,OAKLAND,2024
Zack Gelof,28.7,88,86,0,0,OAKLAND,2024
Tyler Soderstrom,27.0,364,40,5,2,OAKLAND,2024
Jacob Wilson,27.2,337,45,5,2,OAKLAND,2024
George Springer,28.1,172,72,11,0,TORONTO,2024
Daulton Varsho,28.5,124,80,1,0,TORONTO,2024
Nathan Lukes,27.0,368,39,1,2,TORONTO,2024
Vladimir Guerrero Jr.,27.2,331,46,5,2,TORONTO,2024
Bo Bichette,27.3,312,49,4,3,TORONTO,2024
Alejandro Kirk,24.7,582,4,0,0,TORONTO,2024
Ernie Clement,28.4,132,78,3,3,TORONTO,2024
Davis Schneider,27.2,332,45,0,1,TORONTO,2024
Leo Jiménez,28.0,198,67,0,0,TORONTO,2024
Addison Barger,28.0,197,68,3,0,TORONTO,2024
Jonatan Clase,30.0,5,99,3,1,TORONTO,2024
Joey Loperfido,28.8,76,88,0,0,TORONTO,2024
Will Wagner,26.4,453,25,1,0,TORONTO,2024
