Player,Sprint Speed (ft/s),Lg Rank,% Rank,SB,CS,Team
Mike Trout,28.9,63,90,2,0,LA-ANGELS
Taylor Ward,26.8,404,33,2,1,LA-ANGELS
Luis Rengifo,26.9,380,37,2,6,LA-ANGELS
Jo Adell,28.8,83,86,3,0,LA-ANGELS
Gustavo Campero,28.3,142,77,1,0,LA-ANGELS
Kyren Paris,28.9,66,89,7,1,LA-ANGELS
Logan O'Hoppe,28.1,178,71,2,1,LA-ANGELS
Zach Neto,28.2,163,73,18,8,LA-ANGELS
Niko Kavadas,26.0,494,19,0,0,LA-ANGELS
Nolan Schanuel,26.4,459,24,4,1,LA-ANGELS
Randal Grichuk,27.5,279,54,0,1,ARIZONA
Eugenio Suárez,26.5,444,27,1,0,ARIZONA
Ketel Marte,27.1,343,44,2,1,ARIZONA
Jose Herrera,25.0,572,6,0,0,ARIZONA
Pavin Smith,26.4,455,25,2,2,ARIZONA
Jake McCarthy,29.8,15,98,3,0,ARIZONA
Lourdes Gurriel Jr.,26.6,433,29,7,2,ARIZONA
Gabriel Moreno,27.2,339,44,1,1,ARIZONA
Geraldo Perdomo,27.0,365,40,15,3,ARIZONA
Blaze Alexander,28.6,97,84,2,0,ARIZONA
Alek Thomas,27.8,228,63,5,2,ARIZONA
Jorge Barrosa,28.0,187,69,0,0,ARIZONA
Adrian Del Castillo,25.5,541,11,0,0,ARIZONA
Corbin Carroll,29.6,27,96,13,4,ARIZONA
Marcell Ozuna,25.7,525,13,0,0,ATLANTA
Orlando Arcia,25.6,528,13,0,0,ATLANTA
Matt Olson,25.5,543,10,0,0,ATLANTA
Eli White,29.6,26,96,7,1,ATLANTA
Chadwick Tromp,24.2,597,2,0,0,ATLANTA
Ozzie Albies,27.2,328,46,8,1,ATLANTA
Ronald Acuña Jr.,27.7,242,60,4,0,ATLANTA
Austin Riley,27.9,208,66,2,1,ATLANTA
Luke Williams,28.6,102,83,3,0,ATLANTA
Sean Murphy,25.2,559,8,0,0,ATLANTA
Michael Harris II,28.3,153,75,12,3,ATLANTA
Jarred Kelenic,27.9,210,66,0,1,ATLANTA
Nacho Alvarez Jr.,25.9,504,17,0,0,ATLANTA
Ramón Urías,26.9,387,36,2,0,BALTIMORE
Jorge Mateo,29.9,8,99,14,1,BALTIMORE
Cedric Mullins,28.3,151,75,14,4,BALTIMORE
Ryan O'Hearn,27.8,221,64,3,1,BALTIMORE
Emmanuel Rivera,26.7,408,33,1,0,BALTIMORE
Ryan Mountcastle,27.6,262,57,1,0,BALTIMORE
Adley Rutschman,26.6,437,28,0,0,BALTIMORE
Jordan Westburg,29.0,56,91,1,2,BALTIMORE
Heston Kjerstad,28.5,114,81,1,0,BALTIMORE
Colton Cowser,28.2,155,75,5,0,BALTIMORE
Gunnar Henderson,28.9,71,88,13,3,BALTIMORE
Coby Mayo,27.6,252,59,1,0,BALTIMORE
Jackson Holliday,29.4,34,95,9,8,BALTIMORE
Trevor Story,28.1,181,70,17,0,BOSTON
Rob Refsnyder,27.3,318,48,3,0,BOSTON
Rafael Devers,26.5,447,26,1,1,BOSTON
Connor Wong,28.4,130,79,1,1,BOSTON
David Hamilton,29.4,35,94,15,3,BOSTON
Triston Casas,24.1,599,1,0,0,BOSTON
Wilyer Abreu,27.5,273,55,5,3,BOSTON
Ceddanne Rafaela,28.8,81,87,14,3,BOSTON
Jarren Duran,29.6,25,96,16,5,BOSTON
Nick Sogard,27.7,248,59,0,0,BOSTON
Masataka Yoshida,26.1,488,20,1,0,BOSTON
Dansby Swanson,27.8,223,63,8,3,CHI-CUBS
Nico Hoerner,28.4,133,78,19,3,CHI-CUBS
Ian Happ,27.9,204,66,4,2,CHI-CUBS
Miguel Amaya,25.5,545,10,0,0,CHI-CUBS
Seiya Suzuki,28.3,147,76,3,2,CHI-CUBS
Michael Busch,27.3,315,48,4,0,CHI-CUBS
Pete Crow-Armstrong,30.0,6,99,28,5,CHI-CUBS
Jeimer Candelario,27.4,303,50,0,1,CINCINNATI
Jake Fraley,28.3,143,77,4,2,CINCINNATI
Austin Wynns,25.2,563,7,0,0,CINCINNATI
Tyler Stephenson,26.5,442,27,0,1,CINCINNATI
Will Benson,28.8,78,87,1,2,CINCINNATI
Spencer Steer,28.2,165,73,6,1,CINCINNATI
Santiago Espinal,27.3,320,47,2,1,CINCINNATI
TJ Friedl,26.5,450,26,10,3,CINCINNATI
Jacob Hurtubise,26.9,373,39,0,0,CINCINNATI
Rece Hinds,29.2,47,92,0,0,CINCINNATI
Noelvi Marte,28.8,84,86,5,2,CINCINNATI
Elly De La Cruz,30.0,3,100,27,6,CINCINNATI
Christian Encarnacion-Strand,27.4,302,50,0,2,CINCINNATI
Blake Dunn,29.3,37,94,1,1,CINCINNATI
Austin Hedges,25.3,557,8,1,0,CLEVELAND
José Ramírez,28.2,156,74,31,7,CLEVELAND
Lane Thomas,29.3,43,93,4,1,CLEVELAND
Bo Naylor,26.6,434,28,1,2,CLEVELAND
Johnathan Rodríguez,26.8,392,35,0,0,CLEVELAND
Gabriel Arias,27.4,306,50,3,3,CLEVELAND
Brayan Rocchio,26.8,393,35,2,4,CLEVELAND
Jhonkensy Noel,28.1,183,70,0,0,CLEVELAND
Steven Kwan,27.1,348,43,11,2,CLEVELAND
David Fry,26.2,474,22,1,0,CLEVELAND
Daniel Schneemann,28.3,149,76,7,1,CLEVELAND
Angel Martínez,27.6,258,58,6,2,CLEVELAND
Will Brennan,28.2,164,73,0,1,CLEVELAND
Kyle Manzardo,25.9,509,16,1,0,CLEVELAND
Javier Báez,27.5,272,55,3,1,DETROIT
Andy Ibáñez,27.6,254,58,3,0,DETROIT
Zach McKinstry,28.4,129,79,16,3,DETROIT
Matt Vierling,28.8,79,87,2,0,DETROIT
Jake Rogers,27.1,353,42,0,0,DETROIT
Akil Baddoo,28.1,174,71,1,0,DETROIT
Ryan Kreidler,27.5,292,52,2,0,DETROIT
Justyn-Henry Malloy,26.6,431,29,0,0,DETROIT
Wenceel Pérez,28.2,159,74,3,0,DETROIT
Parker Meadows,29.3,44,93,3,0,DETROIT
Spencer Torkelson,27.2,324,47,1,1,DETROIT
Kerry Carpenter,27.7,246,60,1,1,DETROIT
Riley Greene,27.7,250,59,1,1,DETROIT
Jace Jung,26.0,500,18,0,0,DETROIT
Colt Keith,27.7,237,61,0,0,DETROIT
Dillon Dingler,27.5,281,54,0,0,DETROIT
Trey Sweeney,28.1,166,73,3,1,DETROIT
Jose Altuve,27.1,340,44,6,6,HOUSTON
Jon Singleton,25.9,512,16,0,0,HOUSTON
Victor Caratini,24.4,594,2,1,0,HOUSTON
Mauricio Dubón,27.3,317,48,2,0,HOUSTON
César Salazar,25.5,537,11,0,0,HOUSTON
Jeremy Peña,29.8,12,98,15,2,HOUSTON
Yordan Alvarez,26.1,491,19,1,0,HOUSTON
Yainer Diaz,27.1,341,44,1,1,HOUSTON
Jake Meyers,28.9,68,89,14,5,HOUSTON
Chas McCormick,28.7,92,85,2,3,HOUSTON
Shay Whitcomb,27.4,300,51,0,0,HOUSTON
Zach Dezenzo,28.3,141,77,1,0,HOUSTON
Salvador Perez,24.5,588,3,0,0,KANSAS-CITY
Hunter Renfroe,26.7,412,32,0,0,KANSAS-CITY
Adam Frazier,26.7,415,32,0,0,KANSAS-CITY
Kyle Isbel,27.9,213,65,2,1,KANSAS-CITY
Freddy Fermin,26.6,435,28,0,2,KANSAS-CITY
MJ Melendez,27.8,219,64,0,0,KANSAS-CITY
Drew Waters,28.0,191,69,5,3,KANSAS-CITY
Maikel Garcia,27.9,207,66,19,9,KANSAS-CITY
Bobby Witt Jr.,30.5,1,100,27,7,KANSAS-CITY
Nick Loftin,27.7,241,60,1,1,KANSAS-CITY
Dairon Blanco,29.6,21,97,3,2,KANSAS-CITY
Vinnie Pasquantino,25.6,532,12,1,0,KANSAS-CITY
Michael Massey,26.8,403,34,1,0,KANSAS-CITY
Miguel Rojas,25.8,520,14,1,0,LA-DODGERS
Freddie Freeman,25.8,517,15,2,2,LA-DODGERS
Enrique Hernández,27.0,358,41,0,0,LA-DODGERS
Max Muncy,26.9,377,38,4,0,LA-DODGERS
Austin Barnes,25.8,515,15,0,0,LA-DODGERS
Mookie Betts,26.7,416,31,6,0,LA-DODGERS
Teoscar Hernández,28.6,104,83,5,0,LA-DODGERS
Chris Taylor,28.1,179,71,0,1,LA-DODGERS
Shohei Ohtani,28.1,182,70,13,4,LA-DODGERS
Tommy Edman,27.9,209,66,3,1,LA-DODGERS
Will Smith,27.4,307,49,2,3,LA-DODGERS
Hunter Feduccia,27.6,261,57,0,0,LA-DODGERS
James Outman,28.8,80,87,0,0,LA-DODGERS
Andy Pages,28.3,150,75,8,5,LA-DODGERS
Riley Adams,26.5,445,27,0,0,WASHINGTON
Keibert Ruiz,25.0,575,5,0,2,WASHINGTON
Andrés Chaparro,25.8,518,15,0,0,WASHINGTON
Alex Call,28.0,188,69,1,0,WASHINGTON
Luis García Jr.,27.2,336,45,9,5,WASHINGTON
José Tena,28.1,175,71,2,1,WASHINGTON
CJ Abrams,28.5,113,82,20,2,WASHINGTON
Nasim Nuñez,29.5,32,95,7,1,WASHINGTON
Drew Millas,28.3,148,76,1,0,WASHINGTON
Dylan Crews,29.3,41,93,11,3,WASHINGTON
James Wood,28.7,91,85,14,5,WASHINGTON
Jacob Young,29.7,18,97,10,9,WASHINGTON
Trey Lipscomb,27.5,289,52,0,0,WASHINGTON
Daz Cameron,28.4,137,78,1,0,MILWAUKEE
Elias Díaz,24.4,593,2,0,0,SAN-DIEGO
Manny Machado,25.8,514,15,8,2,SAN-DIEGO
Xander Bogaerts,27.4,297,51,16,1,SAN-DIEGO
Jake Cronenworth,27.7,247,59,2,1,SAN-DIEGO
Tyler Wade,28.7,89,86,1,2,SAN-DIEGO
Luis Arraez,26.7,424,30,5,2,SAN-DIEGO
Fernando Tatis Jr.,28.4,138,77,22,3,SAN-DIEGO
Luis Campusano,25.0,571,6,0,0,SAN-DIEGO
Mason McCoy,28.7,96,84,0,0,SAN-DIEGO
Bryce Johnson,28.1,170,72,3,0,SAN-DIEGO
Jackson Merrill,28.5,116,81,1,2,SAN-DIEGO
Jorge Polanco,27.5,278,54,3,2,SEATTLE
J.P. Crawford,26.8,406,33,5,1,SEATTLE
Mitch Garver,26.0,502,17,3,0,SEATTLE
Victor Robles,27.8,226,63,3,0,SEATTLE
Leo Rivas,28.3,145,76,4,0,SEATTLE
Cal Raleigh,26.6,438,28,12,2,SEATTLE
Dylan Moore,28.0,195,68,10,4,SEATTLE
Randy Arozarena,28.1,177,71,16,2,SEATTLE
Ryan Bliss,28.5,111,82,2,2,SEATTLE
Luke Raley,28.9,61,90,2,1,SEATTLE
Julio Rodríguez,29.6,24,96,20,4,SEATTLE
Dominic Canzone,27.1,354,42,1,1,SEATTLE
Wilmer Flores,24.0,600,1,1,0,SAN-FRANCISCO
Mike Yastrzemski,27.2,338,44,6,2,SAN-FRANCISCO
Matt Chapman,28.7,95,85,7,2,SAN-FRANCISCO
LaMonte Wade Jr.,25.2,565,7,0,0,SAN-FRANCISCO
Tyler Fitzgerald,30.0,4,100,9,4,SAN-FRANCISCO
Casey Schmitt,28.0,194,68,0,0,SAN-FRANCISCO
Heliot Ramos,27.9,215,65,5,4,SAN-FRANCISCO
Patrick Bailey,25.2,560,8,0,0,SAN-FRANCISCO
David Villar,26.2,480,21,0,0,SAN-FRANCISCO
Luis Matos,27.8,224,63,2,0,SAN-FRANCISCO
Brett Wisely,27.8,233,62,1,1,SAN-FRANCISCO
Jung Hoo Lee,28.4,128,79,6,2,SAN-FRANCISCO
Nolan Arenado,25.3,552,9,2,0,ST-LOUIS
Willson Contreras,27.1,345,43,4,0,ST-LOUIS
Lars Nootbaar,27.0,367,40,4,4,ST-LOUIS
Luken Baker,24.9,577,5,0,0,ST-LOUIS
José Fermín,28.9,65,89,1,0,ST-LOUIS
Nolan Gorman,26.2,476,22,1,1,ST-LOUIS
Iván Herrera,27.3,322,47,3,1,ST-LOUIS
Michael Siani,28.3,144,76,0,0,ST-LOUIS
Alec Burleson,25.5,544,10,4,0,ST-LOUIS
Brendan Donovan,27.0,362,40,3,1,ST-LOUIS
Pedro Pagés,25.9,506,17,0,0,ST-LOUIS
Victor Scott II,30.0,7,99,26,2,ST-LOUIS
Jordan Walker,28.4,134,78,3,2,ST-LOUIS
Masyn Winn,28.8,82,87,6,5,ST-LOUIS
Thomas Saggese,27.9,216,65,0,0,ST-LOUIS
Yandy Díaz,25.4,548,10,3,0,TAMPA-BAY
Brandon Lowe,27.2,333,45,3,1,TAMPA-BAY
Jonathan Aranda,25.8,523,14,0,1,TAMPA-BAY
Josh Lowe,28.4,127,79,6,3,TAMPA-BAY
Ben Rortvedt,25.6,530,13,0,0,TAMPA-BAY
Christopher Morel,27.3,310,49,6,2,TAMPA-BAY
Taylor Walls,27.8,230,62,13,6,TAMPA-BAY
Jonny DeLuca,29.8,11,98,4,0,TAMPA-BAY
José Caballero,28.3,154,75,33,8,TAMPA-BAY
Curtis Mead,26.9,370,39,4,1,TAMPA-BAY
Richie Palacios,27.9,217,64,1,0,TAMPA-BAY
Junior Caminero,26.4,454,25,5,1,TAMPA-BAY
Marcus Semien,28.5,115,81,9,1,TEXAS
Corey Seager,25.3,553,9,1,0,TEXAS
Jonah Heim,25.3,558,8,3,0,TEXAS
Leody Taveras,28.5,118,81,6,1,TEXAS
Adolis García,26.8,388,36,10,3,TEXAS
Josh Smith,27.6,253,58,9,3,TEXAS
Josh Jung,27.3,313,48,4,1,TEXAS
Ezequiel Duran,28.8,77,87,4,0,TEXAS
Justin Foscue,26.7,411,32,0,0,TEXAS
Jonathan Ornelas,27.3,321,47,0,0,TEXAS
Evan Carter,29.7,17,97,12,2,TEXAS
Wyatt Langford,29.8,13,98,15,4,TEXAS
George Springer,28.1,172,72,12,0,TORONTO
Daulton Varsho,28.5,124,80,1,0,TORONTO
Nathan Lukes,27.0,368,39,1,2,TORONTO
Vladimir Guerrero Jr.,27.2,331,46,5,2,TORONTO
Bo Bichette,27.3,312,49,4,3,TORONTO
Alejandro Kirk,24.7,582,4,0,0,TORONTO
Ernie Clement,28.4,132,78,3,3,TORONTO
Davis Schneider,27.2,332,45,0,1,TORONTO
Leo Jiménez,28.0,198,67,0,0,TORONTO
Addison Barger,28.0,197,68,3,1,TORONTO
Jonatan Clase,30.0,5,99,3,1,TORONTO
Joey Loperfido,28.8,76,88,1,0,TORONTO
Will Wagner,26.4,453,25,1,0,TORONTO
Bryce Harper,27.4,299,51,9,0,PHILADELPHIA
Nick Castellanos,27.4,294,52,4,0,PHILADELPHIA
J.T. Realmuto,28.4,131,79,6,2,PHILADELPHIA
Trea Turner,29.6,23,96,25,6,PHILADELPHIA
Edmundo Sosa,29.2,49,92,0,0,PHILADELPHIA
Weston Wilson,28.1,168,72,0,1,PHILADELPHIA
Kyle Schwarber,25.8,513,15,9,2,PHILADELPHIA
Alec Bohm,26.3,467,23,2,0,PHILADELPHIA
Kody Clemens,27.7,238,61,0,0,PHILADELPHIA
Rafael Marchán,26.1,485,20,0,0,PHILADELPHIA
Brandon Marsh,28.2,157,74,5,1,PHILADELPHIA
Cal Stevenson,27.5,291,52,0,0,PHILADELPHIA
Buddy Kennedy,28.9,67,89,0,0,PHILADELPHIA
Johan Rojas,30.1,2,100,12,2,PHILADELPHIA
Bryson Stott,29.1,53,91,15,3,PHILADELPHIA
DJ LeMahieu,26.1,484,20,0,0,NY-YANKEES
Giancarlo Stanton,24.6,585,4,0,0,NY-YANKEES
Aaron Judge,26.8,389,36,6,3,NY-YANKEES
Trent Grisham,26.9,385,37,0,1,NY-YANKEES
Oswaldo Cabrera,27.4,295,51,0,1,NY-YANKEES
Jazz Chisholm Jr.,28.6,107,83,10,4,NY-YANKEES
Austin Wells,26.7,419,31,3,1,NY-YANKEES
Anthony Volpe,28.6,101,84,10,7,NY-YANKEES
Jasson Domínguez,27.8,220,64,14,2,NY-YANKEES
Ben Rice,27.5,293,52,3,2,NY-YANKEES
